Customer ID,Recency,Frequency,Monetary,R,F,M,RFM_SCORE,Segment
12346.0,326,12,77556.46,2,5,5,255,Can't Lose
12347.0,2,8,5633.32,5,4,5,545,Champions
12348.0,75,5,2019.4,3,4,4,344,Loyal Customers
12349.0,19,4,4428.69,5,3,5,535,Potential Loyalists
12350.0,310,1,334.4,2,1,2,212,Hibernating
12351.0,375,1,300.93,2,1,2,212,Hibernating
12352.0,36,10,2849.84,4,5,4,454,Loyal Customers
12353.0,204,2,406.76,2,2,2,222,Hibernating
12354.0,232,1,1079.4,2,1,3,213,Hibernating
12355.0,214,2,947.61,2,2,3,223,Hibernating
12356.0,23,6,6373.68,4,4,5,445,Loyal Customers
12357.0,33,3,18287.66,4,3,5,435,Potential Loyalists
12358.0,2,5,3887.07,5,4,5,545,Champions
12359.0,58,10,8935.94,4,5,5,455,Loyal Customers
12360.0,52,8,4252.89,4,4,5,445,Loyal Customers
12361.0,287,4,511.25,2,3,2,232,At Risk
12362.0,3,11,5356.23,5,5,5,555,Champions
12363.0,110,2,552.0,3,2,2,322,About to Sleep
12364.0,8,4,1313.1,5,3,4,534,Potential Loyalists
12365.0,291,2,641.38,2,2,3,223,Hibernating
12366.0,634,1,500.24,1,1,2,112,Hibernating
12367.0,4,1,168.9,5,1,1,511,New Customers
12368.0,628,1,917.6999999999999,1,1,3,113,Hibernating
12369.0,413,3,1791.15,1,3,4,134,At Risk
12370.0,51,7,4320.31,4,4,5,445,Loyal Customers
12371.0,45,5,4067.38,4,4,5,445,Loyal Customers
12372.0,72,3,1298.04,3,3,4,334,Need Attention
12373.0,311,3,1127.65,2,3,3,233,At Risk
12374.0,25,4,2989.2200000000003,4,3,5,435,Potential Loyalists
12375.0,11,2,457.5,5,2,2,522,Potential Loyalists
12376.0,390,2,503.15,2,2,2,222,Hibernating
12377.0,315,4,3426.32,2,3,5,235,At Risk
12378.0,130,2,5416.32,3,2,5,325,About to Sleep
12379.0,82,4,1620.22,3,3,4,334,Need Attention
12380.0,22,11,9676.300000000001,4,5,5,455,Loyal Customers
12381.0,5,5,1845.31,5,4,4,544,Champions
12383.0,185,5,1850.56,3,4,4,344,Loyal Customers
12384.0,29,2,585.27,4,2,2,422,Potential Loyalists
12385.0,379,1,1938.4,2,1,4,214,Hibernating
12386.0,338,2,660.8,2,2,3,223,Hibernating
12387.0,415,1,143.94,1,1,1,111,Hibernating
12388.0,16,8,3901.11,5,4,5,545,Champions
12389.0,403,3,1433.33,2,3,4,234,At Risk
12390.0,80,1,549.84,3,1,2,312,About to Sleep
12391.0,22,6,2773.42,4,4,4,444,Loyal Customers
12392.0,591,1,234.75000000000003,1,1,1,111,Hibernating
12393.0,72,6,2399.4500000000003,3,4,4,344,Loyal Customers
12394.0,64,2,1272.48,3,2,4,324,About to Sleep
12395.0,19,15,5067.27,5,5,5,555,Champions
12396.0,674,1,931.43,1,1,3,113,Hibernating
12397.0,36,2,2409.9,4,2,4,424,Potential Loyalists
12398.0,46,1,1635.6599999999999,4,1,4,414,Promising
12399.0,119,7,1962.3,3,4,4,344,Loyal Customers
12400.0,414,1,205.25,1,1,1,111,Hibernating
12401.0,303,1,84.3,2,1,1,211,Hibernating
12402.0,323,6,1256.9,2,4,4,244,At Risk
12403.0,50,2,1019.36,4,2,3,423,Potential Loyalists
12404.0,682,1,63.24,1,1,1,111,Hibernating
12405.0,149,1,1710.39,3,1,4,314,About to Sleep
